COUNTRY,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total,1051031,213910,144047,465068,47934,151995,28077
Afghanistan,7527,202,9,857,45,185,6229
Albania,4354,557,64,1927,1649,139,18
Algeria,1660,97,5,543,989,19,7
Angola,160,6,16,85,14,39, - 
Anguilla,22, - , - ,18, - , - ,1
Antigua-Barbuda,320,114,13,186,4, - , - 
Argentina,3542,188,935,2171,50,134,64
Armenia,3008,250,104,1097,1317,229,11
Aruba,39,4,3,32, - , - , - 
Australia,3795,202,1296,1808,475,5,9
Austria,1928, - ,183,253,37,1429, - 
Azerbaijan,511,36,25,215,173,59,3
Bahamas,801,66,101,604,7,17,6
Bahrain,195,25,42,74, - ,44, - 
Bangladesh,13210,6910,494,5607, - ,159, - 
Barbados,398,107,35,242,8, - ,6
Belarus,1991,87,192,700,774,232,6
Belgium,809,17,382,341,55, - , - 
Belize,804,188,40,559, - ,6,11
Benin,491,20,9,231,195,32,4
Bermuda,150,22,42,83, - , - , - 
Bhutan,94, - , - ,18, - ,72, - 
Bolivia,1549,250,201,986,12,46,54
Bosnia-Herzegovina,767,56, - ,584,45,41, - 
Botswana,111,4,18,38,12,39, - 
Brazil,11247,476,2604,7856,16,113,182
British Virgin Islands,75,21,9,41, - , - ,4
Brunei,18, - , - ,11, - , - , - 
Bulgaria,2585,122,240,1361,803,47,12
Burkina Faso,605,31,13,273,117,168,3
Burma,1875,425, - ,655,112,654, - 
Burundi,288,8,4,52,38,186, - 
Cambodia,1776,312,52,1174,195,39,4
Cameroon,4245,408,75,1505,1401,850,6
Canada,19309,1556,9655,7547,241,68,242
Cape Verde,1237,565,5,653,7,4,3
Cayman Islands,100,15,19,55,8,3, - 
Central African Republic,45, - , - ,19, - ,23, - 
Chad,297, - ,7,25, - ,258,1
Chile,1620,124,346,1052,20,42,36
China,70977,13824,20594,26936,36,9361,226
Colombia,16509,3102,1161,11516,13,587,130
"Congo, the Democratic Republic of the",3482,161,20,442,2491,363,5
"Congo, Republic",335,18,8,80,69,153,7
Costa Rica,2121,174,242,1622,8,39,36
Cote d'Ivoire,1388,107,51,557,349,284,40
Croatia,308,8,40,216,21,23, - 
Cuba,54178,2187,7,3823,428,47670,63
Curacao,20, - , - ,14, - , - , - 
Cyprus,153,8,52,72,17,4, - 
Czech Republic,615,17,102,435,50,7,4
Czechoslovakia (former),79, - ,35,39, - , - ,2
Denmark,634,17,302,284,26, - , - 
Djibouti,1925,259, - ,1040, - ,614, - 
Dominica,220,114, - , - , - , - , - 
Dominican Republic,50382,26365,376,23381, - , - ,144
Ecuador,9816,3052,614,5225, - , - ,541
Egypt,13907,895,671,3399,2802,6118,22
El Salvador,18699,6785,1306,8861,3,357,1387
Equatorial Guinea,32, - , - ,13,5,9, - 
Eritrea,772,32, - ,334,59,336, - 
Estonia,175,8,17,126,19, - , - 
Ethiopia,12566,1623,124,3541,2509,4754,15
Fiji,837,300,9,330,161,34,3
Finland,397, - ,186,184,20, - , - 
France,5034,206,2207,2200,369,42,10
French Polynesia,11, - , - , - , - , - , - 
Gabon,175, - ,16,91,18,40, - 
Gambia,1151,95,39,731,8,238,40
Georgia,1317,104,52,689,395,74,3
Germany,5965,238,1908,3253,468,61,37
Ghana,6316,896,313,4316,488,284,19
Greece,1330,89,277,755,194, - , - 
Grenada,524,118,33,355, - , - ,12
Guatemala,11466,2640,1578,5135,26,614,1473
Guinea,1418,97,10,441,288,546,36
Guinea-Bissau,28, - , - ,22, - , - , - 
Guyana,5313,3329,48,1892,8,13,23
Haiti,16787,6954,115,8339,6,1241,132
Honduras,9071,1960,1184,4958,27,276,666
Hong Kong,2426,993,500,847,49,26,11
Hungary,1037,32,213,662,111,15,4
Iceland,112,4,47,43,18, - , - 
India,61380,13993,25780,19918,65,1193,431
Indonesia,1935,117,395,1153,47,183,40
Iran,9074,2035,1061,3006,2233,724,15
Iraq,10255,121,25,737,20,8464,888
Ireland,1798,54,781,897,60, - , - 
Israel,4324,202,1807,2044,205,47,19
Italy,3829,177,1085,2029,355,167,16
Jamaica,17362,5344,578,11296,3,63,78
Japan,5808,162,2157,3260,185,29,15
Jordan,7835,1239,270,2634,117,3549,26
Kazakhstan,983,29,76,478,278,119,3
Kenya,8025,492,340,2895,1046,3220,32
" Korea, Democratic People's Republic of",68,5,11,49, - , - , - 
" Korea, Republic of",16908,930,9214,6671,19,11,63
Kosovo,788,109,10,456,112,101, - 
Kuwait,846,112,152,388, - ,134, - 
Kyrgyzstan,802,26,32,263,224,252,5
Laos,882,80,41,739, - ,22, - 
Latvia,460,21,27,357,44,5,6
Lebanon,4499,731,350,1465,39,1899,15
Lesotho,26, - ,5,16, - , - ,2
Liberia,3580,280,21,1234,1811,221,13
Libya,333,9,11,231,56,26, - 
Lithuania,700,38,51,491,108,6,6
Luxembourg,35, - ,15,14,3, - , - 
Macau,121,61,12,37,11, - , - 
Macedonia,1041,129,54,626,206, - , - 
Madagascar,58,8,8,26,16, - , - 
Malawi,278,5,19,80,5,169, - 
Malaysia,9338,189,533,757,49,7790,20
Mali,590,25,15,312,13,176,49
Malta,468, - ,12,17, - ,436, - 
Marshall Islands,34, - ,3,31, - , - , - 
Mauritania,256,4,3,102, - ,144, - 
Mauritius,69,6,18,41, - , - , - 
Mexico,157227,41497,6523,97593,23,757,10834
Moldova,2405,77,56,726,1276,265,5
Monaco,14, - ,5,5, - , - , - 
Mongolia,632,31,86,330,67,97,21
Montenegro,249,37,7,185, - ,13, - 
Montserrat,10, - , - , - , - , - , - 
Morocco,3569,288,70,2276,896,29,10
Mozambique,165,5,10,25,7,118, - 
Namibia,168, - ,9,32, - ,121, - 
Nepal,18936,647,1258,2154,3402,11457,18
Netherlands,1505,50,693,678,67,13,4
Netherlands Antilles (former),25, - ,10,15, - , - , - 
New Zealand,978,61,282,500,131, - , - 
Nicaragua,3262,810,66,2133,3,119,131
Niger,61, - , - ,45,8, - , - 
Nigeria,11120,1630,667,8131,530,134,28
Norway,357,14,114,214,10, - , - 
Oman,209,17,72,57,32,26,5
Pakistan,17598,6627,1944,8124,21,806,76
Palau,18, - ,4,10, - , - , - 
Panama,1133,191,113,770,8,38,13
Papua New Guinea,15, - ,5,6, - , - , - 
Paraguay,353,23,50,259, - ,18,3
Peru,9973,2504,482,6611, - ,155,221
Philippines,54307,15486,9459,29103,6,15,238
Poland,4921,872,648,2957,386,13,45
Portugal,869,85,183,551,25,10,15
Qatar,503,89,95,166,129,24, - 
Romania,3160,225,406,1890,472,161,6
Russia,9030,457,1692,4249,1828,779,25
Rwanda,1107, - ,24,72,198,802, - 
Saint Kitts-Nevis,231,73,12,142, - , - , - 
Saint Lucia,743,191,33,507, - , - ,6
Saint Vincent and the Grenadines,386,74,24,281, - , - ,4
Samoa,189, - , - ,181, - , - , - 
Saudi Arabia,2108,283,335,926,440,121,3
Senegal,1272,125,58,843,101,101,44
Serbia,1284,94,112,829,221, - , - 
Serbia and Montenegro (former),186, - ,23,115, - ,42, - 
Seychelles,11, - , - , - , - , - , - 
Sierra Leone,1492,114,38,852,401,80,7
Singapore,1684,108,1145,384,32,11,4
Sint Maarten,58, - , - ,38, - , - , - 
Slovakia,542,10,79,248,38,163,4
Slovenia,98, - ,28,66, - , - , - 
Somalia,518,11, - ,231,12,261, - 
South Africa,3298,93,762,1327,345,757,14
South Sudan,71, - , - ,47, - ,11, - 
Soviet Union (former),547,8,6,487, - ,39, - 
Spain,3707,214,1188,1465,190,643,7
Sri Lanka,1530,198,382,522,223,195,10
Sudan,1623,86,11,461,769,293,3
Suriname,116,24, - ,87, - , - , - 
Swaziland,26, - , - ,18, - , - , - 
Sweden,1194,53,418,631,69,14,9
Switzerland,1007,23,540,368,54,16,6
Syria,5459,660,223,1164,58,3349,5
Taiwan,4814,701,2003,1950,142, - , - 
Tajikistan,523,20,34,170,238,61, - 
Tanzania,942,49, - ,404,45,401, - 
Thailand,12093,297,369,3244,28,8029,126
Togo,1491,151,12,675,518,123,12
Tonga,317,100, - ,204, - , - , - 
Trinidad and Tobago,3208,649,250,2204,53,10,42
Tunisia,1375,19,37,341,37,933,8
Turkey,8762,239,992,1721,1091,4696,23
Turkmenistan,179, - ,12,58,76,24, - 
Turks and Caicos Islands,47,5, - ,38, - , - ,1
Uganda,3199,115,121,758,192,2009,4
Ukraine,7809,784,726,4535,1226,509,29
United Arab Emirates,2714,432,589,725,353,576,39
United Kingdom,14653,813,6589,6941,230,28,52
Uruguay,1023,31,89,812,6,47,38
Uzbekistan,3675,362,83,750,2254,205,21
Venezuela,8985,756,1991,4663,708,818,49
Vietnam,30332,15884,746,13550,3,96,53
Yemen,1636,284, - ,1083,106,139, - 
Zambia,490,28,48,276,28,107,3
Zimbabwe,820,60,107,288,26,329,10
All other countries1,75,12,9,42,8,4, - 
Unknown,10256,825,1943,3930,221,1452,1885