State,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,4628981,4672840,4718206,4757938,4785161,4801108,4816089,4830533,4846411,4858979
Alaska,675302,680300,687455,698895,714021,722720,731228,737442,737046,738432
Arizona,6029141,6167681,6280362,6343154,6408208,6468732,6553262,6630799,6728783,6828065
Arkansas,2821761,2848650,2874554,2896843,2922394,2938538,2949499,2957957,2966835,2978204
California,36021202,36250311,36604337,36961229,37334079,37700034,38056055,38414128,38792291,39144818
Colorado,4720423,4803868,4889730,4972195,5048254,5119480,5191731,5271132,5355588,5456574
Connecticut,3517460,3527270,3545579,3561807,3579717,3589759,3593541,3597168,3594762,3590886
Delaware,859268,871749,883874,891730,899791,907916,917099,925353,935968,945934
District of Columbia,570681,574404,580236,592228,605126,620472,635342,649540,659836,672228
Florida,18166990,18367842,18527305,18652644,18849890,19105533,19352021,19594467,19905569,20271272
Georgia,9155813,9349988,9504843,9620846,9713454,9812280,9917639,9991562,10097132,10214860
Hawaii,1309731,1315675,1332213,1346717,1363980,1378227,1392641,1408765,1420257,1431603
Idaho,1468669,1505105,1534320,1554439,1570986,1584134,1596097,1612785,1634806,1654930
Illinois,12643955,12695866,12747038,12796778,12841249,12861882,12875167,12889580,12882189,12859995
Indiana,6332669,6379599,6424806,6459325,6490590,6516845,6538283,6570518,6597880,6619680
Iowa,2982644,2999212,3016734,3032870,3050694,3065389,3076636,3092224,3109481,3123899
Kansas,2762931,2783785,2808076,2832704,2858824,2869917,2886281,2894630,2902507,2911641
Kentucky,4219239,4256672,4289878,4317074,4347937,4367882,4382667,4398500,4412617,4425092
Louisiana,4302665,4375581,4435586,4491648,4544951,4575381,4603676,4627491,4648990,4670724
Maine,1323619,1327040,1330509,1329590,1327695,1328257,1328888,1328778,1330256,1329328
Maryland,5627367,5653408,5684965,5730388,5788409,5844171,5890740,5936040,5975346,6006401
Massachusetts,6410084,6431559,6468967,6517613,6565036,6611797,6657780,6708810,6755124,6794422
Michigan,10036081,10001284,9946889,9901591,9877369,9876589,9886879,9900506,9916306,9922576
Minnesota,5163555,5207203,5247018,5281203,5310903,5348119,5380443,5420541,5457125,5489594
Mississippi,2904978,2928350,2947806,2958774,2970316,2977999,2985660,2990976,2993443,2992333
Missouri,5842704,5887612,5923916,5961088,5996052,6010587,6025468,6043708,6063827,6083672
Montana,952692,964706,976415,983982,990643,997746,1005157,1014402,1023252,1032949
Nebraska,1772693,1783440,1796378,1812683,1830025,1842383,1855973,1869300,1882980,1896190
Nevada,2522658,2601072,2653630,2684665,2703440,2718819,2754874,2790366,2838281,2890845
New Hampshire,1308389,1312540,1315906,1316102,1316708,1318344,1321393,1322660,1327996,1330608
New Jersey,8661679,8677885,8711090,8755602,8803881,8842934,8874893,8907384,8938844,8958013
New Mexico,1962137,1990070,2010662,2036802,2064741,2078226,2084792,2086890,2085567,2085109
New York,19104631,19132335,19212436,19307066,19402920,19523202,19606981,19691032,19748858,19795791
North Carolina,8917270,9118037,9309449,9449566,9558979,9651025,9747021,9845432,9940387,10042802
North Dakota,649422,652822,657569,664968,674530,685326,702265,723626,740040,756927
Ohio,11481213,11500468,11515391,11528896,11540766,11545442,11551783,11572232,11596998,11613423
Oklahoma,3594090,3634349,3668976,3717572,3759596,3786626,3817679,3853405,3879610,3911338
Oregon,3670883,3722417,3768748,3808600,3837972,3868509,3899444,3928030,3971202,4028977
Pennsylvania,12510809,12563937,12612285,12666858,12712014,12745202,12772789,12783536,12793767,12802503
Rhode Island,1063096,1057315,1055003,1053646,1053219,1051856,1052393,1052856,1054907,1056298
South Carolina,4357847,4444110,4528996,4589872,4635894,4672733,4721341,4768498,4829160,4896146
South Dakota,783033,791623,799124,807067,816299,824289,834631,845270,853304,858469
Tennessee,6088766,6175727,6247411,6306019,6356585,6398408,6455469,6496130,6547779,6600299
Texas,23359580,23831983,24309039,24801761,25244363,25654464,26089741,26500674,26979078,27469114
Utah,2525507,2597746,2663029,2723421,2775426,2816440,2856343,2903685,2944498,2995919
Vermont,622892,623481,624151,624817,625984,626687,626398,627129,626767,626042
Virginia,7673725,7751000,7833496,7925937,8025787,8110783,8193374,8267875,8328098,8382993
Washington,6370753,6461587,6562231,6667426,6743060,6823229,6897292,6973281,7063166,7170351
West Virginia,1827912,1834052,1840310,1847775,1854225,1854948,1856283,1852985,1848751,1844128
Wisconsin,5577655,5610775,5640996,5669264,5690204,5709720,5726422,5743653,5759432,5771337
Wyoming,522667,534876,546043,559851,564516,567768,577080,583131,584304,586107